Sample,Watershed,Plot,LandUse,NH4,NO3,DIN,DOC,TDN,DON,DOC:TDN,MBC,MBN,MBC:N,pH,TC,TN ,CN
1,WS14,W14P1,Reference,0.607446949,0,0.607446949,555.7398793,41.82988339,41.22243644,13.28571429,209.0616808,38.18850048,5.474466873,4.48,49.11,2.51,19.5465
14,WS14,W14P2,Reference,0.392722032,0.015856152,0.408578184,664.1911365,44.81940189,44.41082371,14.81927711,232.050472,38.51340777,6.025186694,5.01,51.35,2.13,24.0825
27,WS14,W14P3,Reference,0.454467282,0,0.454467282,652.7432651,40.30661671,39.85214943,16.19444444,178.2990379,34.54729224,5.161013392,4.75,39.86,1.66,23.9565
40,WS14,W14P4,Reference,1.560270342,0.081728446,1.641998788,482.0076858,39.2296543,37.58765552,12.28681961,88.83308669,30.96906795,2.8684456,5.62,39.55,2.24,17.6726
53,WS14,W14P5,Reference,0.797550393,0.073315191,0.870865584,521.4790673,40.32335526,39.45248967,12.93243243,184.5948475,37.1135402,4.973787101,5.35,44.23,2.6,17.0317
66,WS14,W14P6,Reference,0.757171659,0.03849363,0.795665289,444.3864893,33.85290064,33.05723535,13.12698413,93.17595765,29.22840692,3.187856181,5.655,41.59,2.46,16.9294
79,WS6,W6P1,Disturbed,0.531893724,0.050726901,0.582620626,421.4765272,35.21333453,34.63071391,11.96923077,59.62658787,14.91292434,3.99831626,5.73,28.03,1.74,16.1091954
92,WS6,W6P2,Disturbed,0.550942739,0.087443205,0.638385944,344.1623034,26.68786844,26.04948249,12.89583333,91.79280412,19.79263935,4.637724283,5.825,28.61,1.75,16.343
105,WS6,W6P3,Disturbed,0.883556938,0.078924468,0.962481406,325.4269262,29.48498996,28.52250855,11.03703704,138.9365387,20.24893178,6.861425592,5.54,36.9,2.35,15.7125
118,WS6,W6P4,Disturbed,1.535847004,0.241495135,1.777342139,416.9540199,39.81825565,38.04091351,10.47142857,102.7832697,25.01155425,4.10943153,5.84,60.73,3.54,17.165
131,WS6,W6P5,Disturbed,0.980878556,0.55842096,1.539299516,347.726304,34.18507443,32.64577491,10.171875,20.65109857,8.320010478,2.482100068,5.675,38.24,2.37,16.1356
144,WS6,W6P6,Disturbed,1.064519326,0.094508545,1.159027871,323.3023083,31.41630205,30.25727418,10.29090909,41.80341113,18.52740486,2.256301486,6,29.82,2.11,14.1278
