#SampleID,SubjectID,Distance,LandUse,Day,Plot
3,1,0.438129131,Reference,1,W14P1
5,13,0.939298424,Reference,42,W14P1
7,25,0.792374174,Reference,43,W14P1
9,37,0.923029995,Reference,45,W14P1
11,49,0.946314184,Reference,56,W14P1
13,61,0.864158617,Reference,84,W14P1
16,2,0.259176411,Reference,1,W14P2
18,14,0.891306558,Reference,42,W14P2
20,26,0.610574479,Reference,43,W14P2
22,38,0.377529232,Reference,45,W14P2
24,50,0.914387392,Reference,56,W14P2
26,62,0.791459075,Reference,84,W14P2
29,3,0.37193696,Reference,1,W14P3
31,15,0.673512964,Reference,42,W14P3
33,27,0.294356889,Reference,43,W14P3
35,39,0.641077783,Reference,45,W14P3
37,51,0.866700559,Reference,56,W14P3
39,63,0.811286223,Reference,84,W14P3
42,4,0.842602949,Reference,1,W14P4
44,16,0.837620742,Reference,42,W14P4
46,28,0.871987799,Reference,43,W14P4
48,40,0.715404169,Reference,45,W14P4
50,52,0.814641586,Reference,56,W14P4
52,64,0.808540925,Reference,84,W14P4
55,5,0.889578038,Reference,1,W14P5
57,17,0.916014235,Reference,42,W14P5
59,29,0.545297407,Reference,43,W14P5
61,41,0.868327402,Reference,45,W14P5
63,53,0.880732079,Reference,56,W14P5
65,65,0.799491612,Reference,84,W14P5
68,6,0.738790036,Reference,1,W14P6
70,18,0.848398577,Reference,42,W14P6
72,30,0.734824606,Reference,43,W14P6
74,42,0.753024911,Reference,45,W14P6
76,54,0.576004067,Reference,56,W14P6
78,66,0.631215048,Reference,84,W14P6
81,7,0.69913574,Disturbed,1,W6P1
83,19,0.57193696,Disturbed,42,W6P1
85,31,0.422674123,Disturbed,43,W6P1
87,43,0.549974581,Disturbed,45,W6P1
89,55,0.702999492,Disturbed,56,W6P1
91,67,0.787188612,Disturbed,84,W6P1
94,8,0.83904423,Disturbed,1,W6P2
96,20,0.931062532,Disturbed,42,W6P2
98,32,0.887239451,Disturbed,43,W6P2
100,44,0.687951195,Disturbed,45,W6P2
102,56,0.611896289,Disturbed,56,W6P2
104,68,0.735332994,Disturbed,84,W6P2
107,9,0.584951703,Disturbed,1,W6P3
109,21,0.714082359,Disturbed,42,W6P3
111,33,0.636908998,Disturbed,43,W6P3
113,45,0.588205389,Disturbed,45,W6P3
115,57,0.552719878,Disturbed,56,W6P3
117,69,0.647686833,Disturbed,84,W6P3
120,10,0.655312659,Disturbed,1,W6P4
122,22,0.735739705,Disturbed,42,W6P4
124,34,0.962684291,Disturbed,43,W6P4
126,46,0.676156584,Disturbed,45,W6P4
128,58,0.806100661,Disturbed,56,W6P4
130,70,0.914184037,Disturbed,84,W6P4
133,11,0.822775801,Disturbed,1,W6P5
135,23,0.716420946,Disturbed,42,W6P5
137,35,0.748957804,Disturbed,43,W6P5
139,47,0.495068632,Disturbed,45,W6P5
141,59,0.596441281,Disturbed,56,W6P5
143,71,0.532994408,Disturbed,84,W6P5
146,12,0.608134215,Disturbed,1,W6P6
148,24,0.791357397,Disturbed,42,W6P6
150,36,0.867717336,Disturbed,43,W6P6
152,48,0.978851042,Disturbed,45,W6P6
156,72,0.658566345,Disturbed,84,W6P6
